i	FRR	threshold	FAR
0	0.10%	0.135971	43.35%
1	0.30%	0.174894	27.80%
2	0.50%	0.194408	21.40%
3	0.70%	0.207859	17.25%
4	0.90%	0.218254	15.65%
5	1.11%	0.226789	14.00%
6	1.31%	0.234065	12.45%
7	1.51%	0.240429	11.35%
8	1.71%	0.246102	10.45%
9	1.91%	0.251230	9.80%
10	2.11%	0.255917	9.20%
11	2.31%	0.260241	8.60%
12	2.51%	0.264259	8.30%
13	2.71%	0.268016	7.80%
14	2.91%	0.271547	7.50%
15	3.12%	0.274882	7.05%
16	3.32%	0.278043	6.50%
17	3.52%	0.281050	6.35%
18	3.72%	0.283919	6.15%
19	3.92%	0.286664	5.85%
20	4.12%	0.289296	5.50%
21	4.32%	0.291827	5.10%
22	4.52%	0.294264	4.85%
23	4.72%	0.296615	4.65%
24	4.92%	0.298888	4.50%
25	5.13%	0.301087	4.35%
26	5.33%	0.303219	4.20%
27	5.53%	0.305289	4.10%
28	5.73%	0.307299	4.10%
29	5.93%	0.309255	3.95%
30	6.13%	0.311160	3.75%
31	6.33%	0.313016	3.50%
32	6.53%	0.314827	3.45%
33	6.73%	0.316595	3.40%
34	6.93%	0.318323	3.30%
35	7.14%	0.320013	3.10%
36	7.34%	0.321666	3.05%
37	7.54%	0.323286	3.05%
38	7.74%	0.324872	3.00%
39	7.94%	0.326428	2.90%
40	8.14%	0.327954	2.70%
41	8.34%	0.329452	2.60%
42	8.54%	0.330923	2.40%
43	8.74%	0.332369	2.15%
44	8.94%	0.333789	2.10%
45	9.15%	0.335187	2.10%
46	9.35%	0.336561	2.00%
47	9.55%	0.337914	2.00%
48	9.75%	0.339247	1.95%
49	9.95%	0.340559	1.80%
50	10.15%	0.341852	1.75%
51	10.35%	0.343126	1.65%
52	10.55%	0.344383	1.65%
53	10.75%	0.345622	1.55%
54	10.95%	0.346845	1.50%
55	11.16%	0.348052	1.45%
56	11.36%	0.349243	1.45%
57	11.56%	0.350420	1.40%
58	11.76%	0.351582	1.30%
59	11.96%	0.352730	1.30%
60	12.16%	0.353864	1.30%
61	12.36%	0.354985	1.30%
62	12.56%	0.356094	1.30%
63	12.76%	0.357190	1.30%
64	12.96%	0.358275	1.30%
65	13.17%	0.359348	1.30%
66	13.37%	0.360409	1.30%
67	13.57%	0.361460	1.30%
68	13.77%	0.362500	1.30%
69	13.97%	0.363530	1.30%
70	14.17%	0.364549	1.25%
71	14.37%	0.365559	1.15%
72	14.57%	0.366560	1.15%
73	14.77%	0.367551	1.15%
74	14.97%	0.368533	1.15%
75	15.18%	0.369507	1.15%
76	15.38%	0.370472	1.15%
77	15.58%	0.371428	1.15%
78	15.78%	0.372377	1.15%
79	15.98%	0.373318	1.15%
80	16.18%	0.374251	1.10%
81	16.38%	0.375176	1.05%
82	16.58%	0.376094	0.95%
83	16.78%	0.377005	0.95%
84	16.98%	0.377909	0.90%
85	17.19%	0.378806	0.90%
86	17.39%	0.379696	0.80%
87	17.59%	0.380580	0.80%
88	17.79%	0.381458	0.80%
89	17.99%	0.382329	0.80%
90	18.19%	0.383194	0.80%
91	18.39%	0.384053	0.80%
92	18.59%	0.384907	0.80%
93	18.79%	0.385754	0.80%
94	18.99%	0.386596	0.80%
95	19.20%	0.387433	0.80%
96	19.40%	0.388264	0.80%
97	19.60%	0.389091	0.80%
98	19.80%	0.389911	0.80%
99	20.00%	0.390727	0.80%
Selected threshold: 0.2942637391590416, on line 22
