i	FRR	threshold	FAR
0	0.10%	0.168902	41.15%
1	0.23%	0.195002	34.70%
2	0.35%	0.210061	32.55%
3	0.48%	0.220868	30.40%
4	0.60%	0.229379	28.65%
5	0.73%	0.236440	27.80%
6	0.85%	0.242498	26.50%
7	0.98%	0.247819	25.50%
8	1.10%	0.252573	25.05%
9	1.23%	0.256879	24.30%
10	1.35%	0.260820	24.00%
11	1.48%	0.264457	23.55%
12	1.60%	0.267838	22.70%
13	1.73%	0.271000	22.25%
14	1.85%	0.273971	21.85%
15	1.98%	0.276777	21.40%
16	2.10%	0.279435	21.05%
17	2.23%	0.281963	20.60%
18	2.35%	0.284374	20.10%
19	2.48%	0.286679	19.85%
20	2.60%	0.288888	19.75%
21	2.73%	0.291010	19.30%
22	2.85%	0.293053	19.10%
23	2.98%	0.295022	18.85%
24	3.10%	0.296924	18.75%
25	3.23%	0.298763	18.55%
26	3.35%	0.300545	18.35%
27	3.48%	0.302272	18.20%
28	3.60%	0.303949	18.10%
29	3.73%	0.305580	18.05%
30	3.85%	0.307166	18.05%
31	3.98%	0.308710	18.00%
32	4.10%	0.310216	17.80%
33	4.23%	0.311685	17.50%
34	4.35%	0.313119	17.40%
35	4.48%	0.314520	17.20%
36	4.60%	0.315890	17.00%
37	4.73%	0.317231	16.85%
38	4.85%	0.318543	16.70%
39	4.98%	0.319829	16.60%
40	5.11%	0.321089	16.50%
41	5.23%	0.322325	16.35%
42	5.36%	0.323537	16.25%
43	5.48%	0.324727	16.05%
44	5.61%	0.325896	16.00%
45	5.73%	0.327045	16.00%
46	5.86%	0.328174	15.95%
47	5.98%	0.329284	15.95%
48	6.11%	0.330376	15.85%
49	6.23%	0.331451	15.55%
50	6.36%	0.332509	15.35%
51	6.48%	0.333551	15.30%
52	6.61%	0.334578	15.15%
53	6.73%	0.335589	15.10%
54	6.86%	0.336586	15.05%
55	6.98%	0.337569	15.05%
56	7.11%	0.338539	14.95%
57	7.23%	0.339496	14.85%
58	7.36%	0.340440	14.75%
59	7.48%	0.341372	14.75%
60	7.61%	0.342292	14.65%
61	7.73%	0.343200	14.45%
62	7.86%	0.344098	14.45%
63	7.98%	0.344985	14.45%
64	8.11%	0.345861	14.35%
65	8.23%	0.346727	14.25%
66	8.36%	0.347583	14.10%
67	8.48%	0.348430	14.10%
68	8.61%	0.349267	14.10%
69	8.73%	0.350096	14.00%
70	8.86%	0.350915	13.85%
71	8.98%	0.351726	13.75%
72	9.11%	0.352529	13.75%
73	9.23%	0.353323	13.75%
74	9.36%	0.354110	13.75%
75	9.48%	0.354889	13.65%
76	9.61%	0.355660	13.55%
77	9.73%	0.356424	13.55%
78	9.86%	0.357181	13.50%
79	9.98%	0.357930	13.45%
80	10.11%	0.358673	13.45%
81	10.24%	0.359410	13.45%
82	10.36%	0.360139	13.45%
83	10.49%	0.360863	13.40%
84	10.61%	0.361580	13.40%
85	10.74%	0.362291	13.40%
86	10.86%	0.362996	13.40%
87	10.99%	0.363695	13.40%
88	11.11%	0.364389	13.40%
89	11.24%	0.365077	13.35%
90	11.36%	0.365760	13.20%
91	11.49%	0.366437	13.15%
92	11.61%	0.367109	13.10%
93	11.74%	0.367776	13.00%
94	11.86%	0.368438	12.95%
95	11.99%	0.369095	12.95%
96	12.11%	0.369747	12.90%
97	12.24%	0.370394	12.85%
98	12.36%	0.371037	12.85%
99	12.49%	0.371675	12.85%
100	12.61%	0.372309	12.75%
101	12.74%	0.372938	12.60%
102	12.86%	0.373564	12.60%
103	12.99%	0.374184	12.60%
104	13.11%	0.374801	12.55%
105	13.24%	0.375414	12.55%
106	13.36%	0.376023	12.55%
107	13.49%	0.376628	12.50%
108	13.61%	0.377229	12.40%
