i	FRR	threshold	FAR
109	13.74%	0.377826	12.20%
110	13.86%	0.378420	12.10%
111	13.99%	0.379009	12.05%
112	14.11%	0.379596	12.05%
113	14.24%	0.380179	12.05%
114	14.36%	0.380758	12.05%
115	14.49%	0.381334	12.05%
116	14.61%	0.381907	12.05%
117	14.74%	0.382476	12.00%
118	14.86%	0.383042	12.00%
119	14.99%	0.383605	11.90%
120	15.12%	0.384165	11.85%
121	15.24%	0.384722	11.80%
122	15.37%	0.385275	11.70%
123	15.49%	0.385826	11.70%
124	15.62%	0.386374	11.70%
125	15.74%	0.386919	11.70%
126	15.87%	0.387461	11.60%
127	15.99%	0.388000	11.60%
128	16.12%	0.388537	11.60%
129	16.24%	0.389071	11.35%
130	16.37%	0.389602	11.30%
131	16.49%	0.390130	11.25%
132	16.62%	0.390656	11.25%
133	16.74%	0.391180	11.15%
134	16.87%	0.391701	11.15%
135	16.99%	0.392219	11.15%
136	17.12%	0.392735	11.15%
137	17.24%	0.393249	10.95%
138	17.37%	0.393760	10.90%
139	17.49%	0.394269	10.85%
140	17.62%	0.394775	10.85%
141	17.74%	0.395279	10.70%
142	17.87%	0.395781	10.70%
143	17.99%	0.396281	10.70%
144	18.12%	0.396779	10.70%
145	18.24%	0.397274	10.70%
146	18.37%	0.397768	10.55%
147	18.49%	0.398259	10.55%
148	18.62%	0.398748	10.50%
149	18.74%	0.399235	10.50%
150	18.87%	0.399721	10.45%
151	18.99%	0.400204	10.45%
152	19.12%	0.400685	10.45%
153	19.24%	0.401164	10.40%
154	19.37%	0.401642	10.30%
155	19.49%	0.402117	10.30%
156	19.62%	0.402591	10.30%
157	19.74%	0.403063	10.30%
158	19.87%	0.403533	10.30%
159	19.99%	0.404001	10.25%
160	20.12%	0.404468	10.20%
161	20.25%	0.404933	10.20%
162	20.37%	0.405396	10.20%
163	20.50%	0.405857	10.15%
164	20.62%	0.406317	10.15%
165	20.75%	0.406775	10.10%
166	20.87%	0.407231	10.00%
167	21.00%	0.407686	10.00%
168	21.12%	0.408139	10.00%
169	21.25%	0.408591	10.00%
170	21.37%	0.409041	10.00%
171	21.50%	0.409489	9.90%
172	21.62%	0.409937	9.90%
173	21.75%	0.410382	9.85%
174	21.87%	0.410826	9.85%
175	22.00%	0.411269	9.85%
176	22.12%	0.411710	9.85%
177	22.25%	0.412150	9.80%
178	22.37%	0.412588	9.70%
179	22.50%	0.413025	9.70%
180	22.62%	0.413461	9.70%
181	22.75%	0.413895	9.70%
182	22.87%	0.414328	9.70%
183	23.00%	0.414759	9.65%
184	23.12%	0.415190	9.60%
185	23.25%	0.415618	9.45%
186	23.37%	0.416046	9.40%
187	23.50%	0.416472	9.40%
188	23.62%	0.416898	9.40%
189	23.75%	0.417322	9.40%
190	23.87%	0.417744	9.30%
191	24.00%	0.418166	9.30%
192	24.12%	0.418586	9.30%
193	24.25%	0.419005	9.30%
194	24.37%	0.419423	9.25%
195	24.50%	0.419840	9.25%
196	24.62%	0.420255	9.25%
197	24.75%	0.420670	9.15%
198	24.87%	0.421083	9.15%
199	25.00%	0.421495	9.15%
Selected threshold: 0.32472740328754, on line 43
